取得日時,LIVE名,日付,LIVE時間,視聴数,新規フォロワー,報酬(ダイヤ),最高同時視聴者数,平均視聴時間,ギフト贈呈者数,LIVEおすすめ,ダイヤ合計
2026-03-16 00:14:26,告知しながらvalo,2026年3月15日 午後9:58,2時間11分,41,0,3,3,4分,1,N/A,3
2026-03-17 15:09:53,test,2026年3月17日 午後3:04,1分4秒,2,0,1,1,6秒,1,N/A,1
2026-03-17 15:31:02,test,2026年3月17日 午後3:24,1分48秒,2,0,1,1,17秒,1,N/A,1
2026-03-17 15:40:45,test,2026年3月17日 午後3:35,1分4秒,6,0,1,2,5秒,1,N/A,1
2026-03-17 15:52:46,test,2026年3月17日 午後3:47,0分,3,0,1,1,8秒,1,N/A,1
2026-03-20 11:23:14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
