timestamp,type,user,unique_id,detail
2026/3/12 23:12,join,test,amane_fts,入室
2026/3/12 23:12,gift,test,amane_fts,Rose ×1
2026/3/12 23:13,disconnect,amane_fts,,配信終了 0分27秒
2026-03-12 23:50:17,connect,teke_sensai,,配信開始
2026-03-12 23:50:29,join,test,amane_fts,入室
2026-03-12 23:50:32,gift,test,amane_fts,Rose ×1
2026-03-12 23:50:42,join,ppt1113,ppt1113,入室
2026-03-12 23:50:44,join,yoo,yoo_1792,入室
2026-03-12 23:50:46,disconnect,teke_sensai,,配信終了 0分29秒
2026-03-13 21:07:30,connect,teke_sensai,,配信開始
2026-03-13 21:07:30,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:07:43,join,暇人なロブロ民︎︎︎︎︎︎☑️,ar0503555,入室
2026-03-13 21:07:45,join,❤️あわわちゃん🫧,renjiro7680,入室
2026-03-13 21:08:03,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:08:05,join,ブラック・ジギング,nao_55555,入室
2026-03-13 21:08:16,join,こうのですよ？,user74615466755743,入室
2026-03-13 21:08:17,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:08:22,join,あんな😉💙,coco819325,入室
2026-03-13 21:08:26,join,おにぎりくん,yuji1708,入室
2026-03-13 21:08:36,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:08:44,join,joeichiro13,joeichiro13,入室
2026-03-13 21:09:03,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:09:15,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:09:28,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:10:02,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:10:20,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:10:37,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:10:52,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:11:17,join,りゅけ,user25861026949432,入室
2026-03-13 21:11:17,join,NDLE Psukeみおべ,ndle.psuke,入室
2026-03-13 21:11:25,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:11:38,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:12:23,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:12:37,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:12:49,join,サブ,koheitsukabuchi,入室
2026-03-13 21:13:13,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:13:23,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:13:25,join,ぴよきち！,user94337714338622,入室
2026-03-13 21:14:51,join,サブ,koheitsukabuchi,入室
2026-03-13 21:15:01,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:15:12,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:15:20,gift,極東のゆきちゃん,yukidokemizu_kappa_,Perfume ×1
2026-03-13 21:15:21,join,サブ,koheitsukabuchi,入室
2026-03-13 21:16:03,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:16:24,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:16:37,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:17:11,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:17:21,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:17:35,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:18:08,join,けいすけ,user5004485369710,入室
2026-03-13 21:18:16,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:18:26,join,_:(´ཀ`」 ∠):,_162670,入室
2026-03-13 21:18:35,join,ひじり,isgk_o,入室
2026-03-13 21:18:40,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:18:53,join,ビーバー,user6804826820922,入室
2026-03-13 21:19:34,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:19:47,join,ブタ🐖,live_potato777,入室
2026-03-13 21:19:58,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:20:06,join,話聞こか？,user4251322247799,入室
2026-03-13 21:22:04,join,シャバ僧,user23218771919662,入室
2026-03-13 21:22:08,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:23:06,join,yahaton,yahaton2,入室
2026-03-13 21:23:30,join,kOxr_7,12fi09,入室
2026-03-13 21:23:50,join,つっくん,user75750494798056,入室
2026-03-13 21:23:54,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:24:05,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:24:28,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:24:31,join,二酸化炭素,tanso_0716,入室
2026-03-13 21:24:43,gift,kOxr_7,12fi09,Rose ×1
2026-03-13 21:25:01,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:25:28,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:26:12,gift,二酸化炭素,tanso_0716,Heart Me ×1
2026-03-13 21:26:30,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:26:47,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:26:48,join,シャバ僧,user23218771919662,入室
2026-03-13 21:27:05,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:27:13,gift,二酸化炭素,tanso_0716,GG ×1
2026-03-13 21:27:28,gift,シャバ僧,user23218771919662,Rose ×1
2026-03-13 21:27:32,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:27:50,gift,二酸化炭素,tanso_0716,Rose ×1
2026-03-13 21:28:06,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:28:18,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:28:25,join,どうも天才です 。,user753420517280,入室
2026-03-13 21:28:35,gift,二酸化炭素,tanso_0716,Rose ×1
2026-03-13 21:28:40,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:28:41,join,たいが,user3433058032715,入室
2026-03-13 21:28:58,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:29:10,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:29:22,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:29:33,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:29:55,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:30:09,join,ブレロ大好き❤,user22372958730973,入室
2026-03-13 21:30:14,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:30:25,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:30:44,join,yunaru☁️🎀,yunaru092,入室
2026-03-13 21:31:09,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:31:23,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:31:39,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:31:58,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:32:12,join,シャバ僧,user23218771919662,入室
2026-03-13 21:32:27,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:32:43,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:33:02,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:33:41,join,シャバ僧,user23218771919662,入室
2026-03-13 21:33:59,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:34:15,join,shintaro,t6827177,入室
2026-03-13 21:34:20,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
2026-03-13 21:34:22,join,test,amane_fts,入室
2026-03-13 21:34:50,gift,極東のゆきちゃん,yukidokemizu_kappa_,GG ×1
